Tamano;Procesadores;Tiempo Promedio;Desviación Estándar;Speedup
100;1;4662.27;4540.79;1.0
100;2;3029.53;4493.06;1.54
100;4;5569.9;7603.25;0.84
100;8;10543.7;9489.97;0.44
100;10;4327.63;3685.78;1.08
100;14;2958.77;2751.21;1.58
100;16;2238.2;2505.14;2.08
100;20;2446.1;2452.73;1.91
200;1;62538.97;38031.67;1.0
200;2;40885.23;24959.51;1.53
200;4;39974.37;20326.91;1.56
200;8;26146.97;20985.72;2.39
200;10;29093.17;17882.67;2.15
200;14;39048.27;18610.03;1.6
200;16;38934.27;17864.8;1.61
200;20;32432.43;22198.16;1.93
400;1;427474.73;165141.2;1.0
400;2;243554.83;63461.02;1.76
400;4;219094.4;59225.66;1.95
400;8;202268.7;54004.29;2.11
400;10;133810.27;78339.55;3.19
400;14;148859.07;66754.64;2.87
400;16;144827.97;66310.11;2.95
400;20;154835.8;97633.35;2.76
600;1;3763091.03;4768872.3;1.0
600;2;1426415.67;1634136.3;2.64
600;4;1393782.67;1010592.05;2.7
600;8;1034902.57;449400.04;3.64
600;10;814859.13;302776.22;4.62
600;14;790962.9;181446.83;4.76
600;16;672922.77;119195.18;5.59
600;20;315780.23;247005.23;11.92
800;1;7391691.67;6755941.86;1.0
800;2;2936631.3;2897810.74;2.52
800;4;3985604.87;3173670.35;1.85
800;8;3044019.87;1614433.2;2.43
800;10;711716.23;428921.1;10.39
800;14;818174.53;782188.75;9.03
800;16;805924.8;727415.6;9.17
800;20;808431.13;439694.6;9.14
1000;1;10189195.43;7647340.51;1.0
1000;2;7574164.93;4835617.56;1.35
1000;4;6877244.37;4539342.04;1.48
1000;8;5338507.6;4399613.24;1.91
1000;10;11008281.73;4275517.07;0.93
1000;14;6273314.03;4121794.04;1.62
1000;16;5796174.73;3896879.13;1.76
1000;20;4178086.03;2863388.97;2.44
1500;1;36298371.33;34851186.63;1.0
1500;2;20336717.5;11851940.98;1.78
1500;4;30762456.5;18653527.43;1.18
1500;8;21919670.23;14064004.07;1.66
1500;10;37968758.07;17293412.52;0.96
1500;14;17534737.47;9396565.84;2.07
1500;16;32471227.77;22859003.35;1.12
1500;20;26392991.77;17837105.9;1.38
2000;1;94943291.07;87697687.08;1.0
2000;2;52988226.93;35507530.55;1.79
2000;4;72546218.97;45447448.75;1.31
2000;8;40638177.87;22367389.84;2.34
2000;10;80573573.0;52049713.27;1.18
2000;14;55333906.8;28043771.23;1.72
2000;16;69208134.23;44767003.88;1.37
2000;20;56870612.83;46085650.34;1.67
3000;1;329445221.53;318967563.8;1.0
3000;2;251975768.23;232800533.35;1.31
3000;4;187323798.87;115037629.18;1.76
3000;8;170210336.63;116125403.07;1.94
3000;10;305355789.13;136580051.37;1.08
3000;14;208924760.33;122567561.33;1.58
3000;16;167064264.73;114519179.65;1.97
3000;20;196913020.43;136090590.08;1.67
4000;1;1040496503.53;1256258790.65;1.0
4000;2;597909549.2;419765386.16;1.74
4000;4;413416503.73;269307616.84;2.52
4000;8;496936377.87;273256181.78;2.09
4000;10;626957165.97;325813927.91;1.66
4000;14;379010060.17;203479887.24;2.75
4000;16;361268163.77;229703463.88;2.88
4000;20;280867034.87;215651054.19;3.7
5000;1;1907858725.2;1669200477.3;1.0
5000;2;845730038.7;471187572.96;2.26
5000;4;960196367.73;526910422.82;1.99
5000;8;673812392.37;342088596.16;2.83
5000;10;953350141.83;510580286.95;2.0
5000;14;748121977.93;358599864.39;2.55
5000;16;736131120.93;355287493.41;2.59
5000;20;345844039.1;236570867.19;5.52
6000;1;3095361912.2;2265875758.54;1.0
6000;2;1428575193.4;619568637.06;2.17
6000;4;1317446209.47;789618189.8;2.35
6000;8;991086958.43;683846461.33;3.12
6000;10;1662903690.43;846290655.52;1.86
6000;14;1112316630.33;743404055.96;2.78
6000;16;925571307.67;356365813.61;3.34
6000;20;465978309.63;368076712.66;6.64
7000;1;4043398541.23;3810575795.24;1.0
7000;2;1607142499.87;783606705.16;2.52
7000;4;1347959641.57;716133220.52;3.0
7000;8;1631799676.9;1446638705.85;2.48
7000;10;2221160727.43;1483212551.07;1.82
7000;14;1131696560.23;1004271954.01;3.57
7000;16;1026137669.67;800052537.15;3.94
7000;20;914225956.43;734311673.92;4.42
8000;1;5524150425.27;4856858381.31;1.0
8000;2;2508047731.17;1431190918.2;2.2
8000;4;1402971591.37;692127951.82;3.94
8000;8;1305962659.27;971390571.91;4.23
8000;10;2031704185.17;1792105615.88;2.72
8000;14;1614450109.93;1506639473.25;3.42
8000;16;1505366221.43;1347625558.89;3.67
8000;20;1505681028.03;1180802166.25;3.67
